Pl,Bon,Vanus,KYPS_%,VALM_%,II_%,III_%,uhtlane_%,HRF_%
MA,0,0,0,0,0,0,0.32,0
MA,0,10,0,0,0,0,1,0
MA,0,20,0,0,0,0,1,1
MA,0,30,0,0,0,1,1,1
MA,0,40,0,0,1,0,1,1
MA,0,50,0,1,0,0,1,1
MA,0,60,1,0,0,0,1,0.5
MA,0,70,1,0,0,0,1,0
MA,0,80,1,0,0,0,1,0
MA,0,90,1,0,0,0,1,0
MA,0,100,1,0,0,0,1,0
MA,0,110,1,0,0,0,1,0
MA,0,120,1,0,0,0,1,0
MA,1,0,0,0,0,0,0.29,0
MA,1,10,0,0,0,0,1,0
MA,1,20,0,0,0,0,1,1
MA,1,30,0,0,0,0,1,1
MA,1,40,0,0,0,0.6,1,1
MA,1,50,0,0,0.6,0.4,1,1
MA,1,60,0,0.6,0.4,0,1,0.5
MA,1,70,0.6,0.4,0,0,1,0
MA,1,80,1,0,0,0,1,0
MA,1,90,1,0,0,0,1,0
MA,1,100,1,0,0,0,1,0
MA,1,110,1,0,0,0,1,0
MA,1,120,1,0,0,0,1,0
MA,2,0,0,0,0,0,0.19,0
MA,2,10,0,0,0,0,1,0
MA,2,20,0,0,0,0,1,0
MA,2,30,0,0,0,0,1,1
MA,2,40,0,0,0,0,1,1
MA,2,50,0,0,0,0.6,1,1
MA,2,60,0,0,0.6,0.4,1,1
MA,2,70,0,0.6,0.4,0,1,0.5
MA,2,80,0.6,0.4,0,0,1,0
MA,2,90,1,0,0,0,1,0
MA,2,100,1,0,0,0,1,0
MA,2,110,1,0,0,0,1,0
MA,2,120,1,0,0,0,1,0
MA,3,0,0,0,0,0,0.15,0
MA,3,10,0,0,0,0,1,0
MA,3,20,0,0,0,0,1,0
MA,3,30,0,0,0,0,1,0.5
MA,3,40,0,0,0,0,1,1
MA,3,50,0,0,0,0,1,1
MA,3,60,0,0,0,0.2,1,1
MA,3,70,0,0,0.2,0.8,1,1
MA,3,80,0,0.2,0.8,0,1,0.5
MA,3,90,0.2,0.8,0,0,1,0
MA,3,100,1,0,0,0,1,0
MA,3,110,1,0,0,0,1,0
MA,3,120,1,0,0,0,1,0
MA,4,0,0,0,0,0,0.14,0
MA,4,10,0,0,0,0,1,0
MA,4,20,0,0,0,0,1,0
MA,4,30,0,0,0,0,1,0
MA,4,40,0,0,0,0,1,0.5
MA,4,50,0,0,0,0,1,1
MA,4,60,0,0,0,0,1,1
MA,4,70,0,0,0,0.3,1,1
MA,4,80,0,0,0.3,0.7,1,1
MA,4,90,0,0.3,0.7,0,1,0.5
