majandkategooria,arv_epl,bongr,vangr,pindosak,pindosak_viga,teor_tagavara,teor_tagavara_viga
0,MA,0,L/S,2.00360582397413,0.262558006488027,0.691214546771991,0.570099329098288
0,MA,0,0..,0.98886435418812,0.407509008311935,10.3019314757961,0.516366668377037
0,MA,0,10..,4.05304220207947,0.197953405388585,338.522555616761,0.210652542541181
0,MA,0,20..,4.74003285533194,0.201638568575642,760.733581350392,0.209667730430868
0,MA,0,30..,1.93124343204316,0.272708764628177,474.8989155752,0.279639887430194
0,MA,0,40..,1.06958224850492,0.369746277617172,354.736780876337,0.376469969572348
0,MA,0,50..,2.62496837080062,0.24615937282024,978.006341425043,0.246815505516842
0,MA,0,60..,5.12401183810741,0.197847766779474,2165.09161327463,0.197178179065711
0,MA,0,70..,5.72811777832735,0.197329146689647,2646.70945457196,0.197187913934364
0,MA,0,80..,3.38711177965396,0.253076932926909,1666.0800548502,0.257504673066223
0,MA,0,90..,1.7823408969883,0.31423528355179,935.928817076669,0.312450488950624
0,MA,0,100..,1.09120366979063,0.377989406646178,567.248197979188,0.37824011859724
0,MA,0,110..,0.155886238541518,1.00000942429538,89.8356804090915,1.00000942429538
0,MA,0,120..,0.311772477083036,0.707183498602279,173.755478065532,0.708043397428358
0,MA,1,L/S,13.6664997670633,0.113007505599374,2.81598201433509,0.534734771578665
0,MA,1,0..,5.55410197024346,0.180082933555753,22.1076410639838,0.227771235726899
0,MA,1,10..,5.83337216659059,0.196911747259731,206.337583935268,0.224453667444077
0,MA,1,20..,7.67496542284852,0.173707750581081,795.243802638908,0.179614258923018
0,MA,1,30..,5.55171691079377,0.198783150482369,985.862312283139,0.204578743803981
0,MA,1,40..,7.8539851791896,0.146738919667001,1943.32030246968,0.148289558445721
0,MA,1,50..,9.36090626992275,0.144504459780373,2776.63019469493,0.144577636106603
0,MA,1,60..,13.5716585795347,0.117611720356571,4524.31239857333,0.118877454162634
0,MA,1,70..,12.3044593464307,0.125684432428275,4548.70656323973,0.126162819403392
0,MA,1,80..,14.5284727230787,0.120039991497959,5729.10357842575,0.121066565820247
0,MA,1,90..,8.32925114325498,0.142444570921728,3502.61928907341,0.142560151187601
0,MA,1,100..,3.81667189857897,0.21706747398164,1659.75468092886,0.216234993353649
0,MA,1,110..,2.57792190400879,0.264605372759508,1190.78852637702,0.266383506157287
0,MA,1,120..,1.40297614687366,0.351408014995143,677.871308297792,0.352039732769328
0,MA,2,L/S,11.8298169273195,0.133317164948551,1.78882311444557,0.532512216341419
0,MA,2,0..,3.0397816515596,0.218844999743858,5.38742840399487,0.270362134772083
0,MA,2,10..,4.7699006586365,0.180829557516257,83.2929151779076,0.231328401087003
0,MA,2,20..,3.9093462673919,0.221430610759541,296.247249044374,0.227365627059177
0,MA,2,30..,5.92367706457769,0.199225077315011,771.979830505306,0.209134161981685
0,MA,2,40..,5.89281158934647,0.198191492090969,1158.63149499969,0.204433262675202
0,MA,2,50..,9.42974563286268,0.13297792445479,2150.00901594833,0.13300751670235
0,MA,2,60..,11.4461341283972,0.125925645200741,3026.09765605644,0.127322770658395
0,MA,2,70..,16.6195151382507,0.113353884027488,4889.53564905465,0.1125710670489
0,MA,2,80..,17.2987270682,0.103564550736459,5492.63559458166,0.103971053893997
0,MA,2,90..,10.1337746519877,0.13979439450439,3402.32257657574,0.141084254597792
0,MA,2,100..,6.8973113332603,0.166238114862356,2400.76694006988,0.16748435987375
0,MA,2,110..,3.35987845378076,0.216220748778727,1255.92230538146,0.216671935291118
0,MA,2,120..,1.89016740818747,0.351341084124312,762.677475262466,0.342735558198782
0,MA,3,L/S,5.97613278384691,0.175831023506504,1.97076371123821,0.580110727888768
0,MA,3,0..,1.80731387240265,0.328765333030384,1.66926413727506,0.346719177168013
0,MA,3,10..,1.64029735642927,0.332970498848487,14.4572676305826,0.401703761017157
0,MA,3,20..,2.45905864712089,0.244946150817636,111.146300856642,0.259677579705992
0,MA,3,30..,2.89709897742255,0.27893328011776,265.856041481748,0.286750615482593
0,MA,3,40..,4.6424324813811,0.202761756140076,619.481141627886,0.20354625514441
0,MA,3,50..,3.7300615044453,0.214963884223008,634.514357155648,0.216402445789903
0,MA,3,60..,7.2667617186037,0.154386470938206,1436.00652731703,0.155365518633494
0,MA,3,70..,8.99151823907476,0.141624024888052,2017.52420269891,0.14230182499112
0,MA,3,80..,11.2720091999463,0.122420511599068,2737.05928879385,0.123015793024187
0,MA,3,90..,8.04313754103588,0.133184438438343,2154.06887614683,0.1343393138476
0,MA,3,100..,4.69005572725553,0.199628233334648,1289.03333419388,0.202715359868866
0,MA,3,110..,4.23011338043878,0.211128869035763,1227.31673009786,0.209645004949214
0,MA,3,120..,7.06900443638993,0.151119229441233,2192.74284770574,0.1517291814747
0,MA,4,L/S,1.7147486239567,0.363563656084662,0.0436481467916251,0.764289529559873
0,MA,4,0..,0.311772477083036,0.790581335903895,0.151209651385273,0.934749570307898
0,MA,4,10..,1.09120366979063,0.428524685028282,4.55343702779774,0.561398761275871
0,MA,4,20..,0.935317431249109,0.408271375000861,25.6214621666839,0.435425177985523
0,MA,4,30..,1.55886238541518,0.346370072755186,80.9844597847041,0.353622071484407
0,MA,4,40..,1.40297614687366,0.342425152242733,122.875768667966,0.350996514752132
0,MA,4,50..,2.06868832856522,0.30286908791168,229.487976264265,0.297983889013025
0,MA,4,60..,3.42558450332601,0.214101705091216,499.730081746009,0.215518549159588
0,MA,4,70..,2.82715282218897,0.231754779135857,434.828882982955,0.234106304191649
0,MA,4,80..,3.35440684680795,0.213716860348669,614.626622021813,0.215460474717656
0,MA,4,90..,3.69191614187419,0.204331930388145,729.085189777829,0.204224112526229
0,MA,4,100..,3.57832183984899,0.212307639880793,747.229585816242,0.215076381435958
0,MA,4,110..,1.7738762742355,0.316876387976874,395.387551593987,0.319297043914564
0,MA,4,120..,6.46352669727082,0.162184529788011,1582.14999707331,0.163251922325646
0,MA,5,L/S,0.467658715624554,0.577299302610536,0.0997671926665716,0.707037695495879
0,MA,5,0..,0,NA,0,NA
0,MA,5,10..,0.311772477083036,0.706967951071145,0.939994018405354,0.734814308315252
0,MA,5,20..,0.467658715624554,0.577221648574859,6.02344425724426,0.581839654852048
0,MA,5,30..,0.623544954166072,0.661452076552872,21.6697460196564,0.699548718971395
0,MA,5,40..,0.850452962987106,0.418100392798071,48.840445531843,0.417072233134466
0,MA,5,50..,2.65006605520581,0.308447324425801,188.084541112269,0.307333658326115
0,MA,5,60..,2.0687974489322,0.345880759022312,186.918065589791,0.335261835336284
0,MA,5,70..,1.63853584193375,0.359170936301001,175.508072594596,0.376253114123445
0,MA,5,80..,1.55886238541518,0.31607608966514,189.007387644434,0.320366222646259
0,MA,5,90..,1.87063486249822,0.317174610829165,258.697889446806,0.315021206501998
0,MA,5,100..,1.7147486239567,0.301326295451687,250.975285189459,0.304001996162098
0,MA,5,110..,2.09754287131925,0.269976799716418,336.072130573075,0.268377874565364
0,MA,5,120..,5.89896909576886,0.176550698144218,1055.88340608463,0.180002781653094
0,KU,0,L/S,7.65284516559948,0.172040358203494,4.56814520617661,0.697366221045148
0,KU,0,0..,4.3578465642997,0.210076878820701,31.9955380666686,0.241320763022456
0,KU,0,10..,19.4781102147535,0.10075203861705,1219.83316179869,0.108823765364626
0,KU,0,20..,19.01247802023,0.105136020253208,2986.48588956629,0.109280133417511
0,KU,0,30..,17.0751550248837,0.0978298237513214,4105.59862526177,0.0985068006844531
0,KU,0,40..,20.5837801274808,0.107877473514189,6113.17637821616,0.108926399986394
0,KU,0,50..,15.284739220739,0.10391389309967,5083.47013818491,0.104756659160388
