Pl;Bon;Vanus;KYPS_%;VALM_%;II_%;III_%;uhtlane_%;HRF_%
MA;0;9;0;0;0;0;0.32;0
MA;0;19;0;0;0;0;1;0
MA;0;29;0;0;0;0;1;1
MA;0;39;0;0;0;1;1;1
MA;0;49;0;0;1;0;1;1
MA;0;59;0;1;0;0;1;1
MA;0;69;1;0;0;0;1;0.5
MA;0;79;1;0;0;0;1;0
MA;0;89;1;0;0;0;1;0
MA;0;99;1;0;0;0;1;0
MA;0;109;1;0;0;0;1;0
MA;0;119;1;0;0;0;1;0
MA;0;120;1;0;0;0;1;0
MA;1;9;0;0;0;0;0.29;0
MA;1;19;0;0;0;0;1;0
MA;1;29;0;0;0;0;1;1
MA;1;39;0;0;0;0;1;1
MA;1;49;0;0;0;0.6;1;1
MA;1;59;0;0;0.6;0.4;1;1
MA;1;69;0;0.6;0.4;0;1;0.5
MA;1;79;0.6;0.4;0;0;1;0
MA;1;89;1;0;0;0;1;0
MA;1;99;1;0;0;0;1;0
MA;1;109;1;0;0;0;1;0
MA;1;119;1;0;0;0;1;0
MA;1;120;1;0;0;0;1;0
MA;2;9;0;0;0;0;0.19;0
MA;2;19;0;0;0;0;1;0
MA;2;29;0;0;0;0;1;0
MA;2;39;0;0;0;0;1;1
MA;2;49;0;0;0;0;1;1
MA;2;59;0;0;0;0.6;1;1
MA;2;69;0;0;0.6;0.4;1;1
MA;2;79;0;0.6;0.4;0;1;0.5
MA;2;89;0.6;0.4;0;0;1;0
MA;2;99;1;0;0;0;1;0
MA;2;109;1;0;0;0;1;0
MA;2;119;1;0;0;0;1;0
MA;2;120;1;0;0;0;1;0
MA;3;9;0;0;0;0;0.15;0
MA;3;19;0;0;0;0;1;0
MA;3;29;0;0;0;0;1;0
MA;3;39;0;0;0;0;1;0.5
MA;3;49;0;0;0;0;1;1
MA;3;59;0;0;0;0;1;1
MA;3;69;0;0;0;0.2;1;1
MA;3;79;0;0;0.2;0.8;1;1
MA;3;89;0;0.2;0.8;0;1;0.5
MA;3;99;0.2;0.8;0;0;1;0
MA;3;109;1;0;0;0;1;0
MA;3;119;1;0;0;0;1;0
MA;3;120;1;0;0;0;1;0
MA;4;9;0;0;0;0;0.14;0
MA;4;19;0;0;0;0;1;0
MA;4;29;0;0;0;0;1;0
MA;4;39;0;0;0;0;1;0
MA;4;49;0;0;0;0;1;0.5
MA;4;59;0;0;0;0;1;1
MA;4;69;0;0;0;0;1;1
MA;4;79;0;0;0;0.3;1;1
MA;4;89;0;0;0.3;0.7;1;1
MA;4;99;0;0.3;0.7;0;1;0.5
MA;4;109;0.3;0.7;0;0;1;0
MA;4;119;1;0;0;0;1;0
MA;4;120;1;0;0;0;1;0
MA;5;9;0;0;0;0;0;0
MA;5;19;0;0;0;0;1;0
MA;5;29;0;0;0;0;1;0
MA;5;39;0;0;0;0;1;0
MA;5;49;0;0;0;0;1;0
MA;5;59;0;0;0;0;1;0
MA;5;69;0;0;0;0;1;0
MA;5;79;0;0;0;0;1;0
MA;5;89;0;0;0;0.3;1;0
MA;5;99;0;0;0.3;0.7;1;0
MA;5;109;0;0.3;0.7;0;1;0
MA;5;119;0.3;0.7;0;0;1;0
MA;5;120;1;0;0;0;1;0
KU;0;9;0;0;0;0;0.4;0
KU;0;19;0;0;0;0;1;0
KU;0;29;0;0;0;0.3;1;1
KU;0;39;0;0;0.3;0.7;1;1
KU;0;49;0;0.3;0.7;0;1;1
KU;0;59;0.3;0.7;0;0;1;0.5
KU;0;69;1;0;0;0;1;0
KU;0;79;1;0;0;0;1;0
KU;0;89;1;0;0;0;1;0
KU;0;99;1;0;0;0;1;0
KU;0;109;1;0;0;0;1;0
KU;0;119;1;0;0;0;1;0
KU;0;120;1;0;0;0;1;0
KU;1;9;0;0;0;0;0.22;0
KU;1;19;0;0;0;0;1;0
KU;1;29;0;0;0;0;1;0.5
KU;1;39;0;0;0;0.3;1;1
KU;1;49;0;0;0.3;0.7;1;1
KU;1;59;0;0.3;0.7;0;1;1
KU;1;69;0.3;0.7;0;0;1;0
KU;1;79;1;0;0;0;1;0
KU;1;89;1;0;0;0;1;0
KU;1;99;1;0;0;0;1;0
KU;1;109;1;0;0;0;1;0
KU;1;119;1;0;0;0;1;0
KU;1;120;1;0;0;0;1;0
KU;2;9;0;0;0;0;0.05;0
KU;2;19;0;0;0;0;1;0
KU;2;29;0;0;0;0;1;0
KU;2;39;0;0;0;0;1;1
KU;2;49;0;0;0;0.4;1;1
KU;2;59;0;0;0.4;0.6;1;1
KU;2;69;0;0.4;0.6;0;1;1
KU;2;79;0.4;0.6;0;0;1;0
KU;2;89;1;0;0;0;1;0
KU;2;99;1;0;0;0;1;0
KU;2;109;1;0;0;0;1;0
KU;2;119;1;0;0;0;1;0
KU;2;120;1;0;0;0;1;0
KU;3;9;0;0;0;0;0;0
KU;3;19;0;0;0;0;1;0
KU;3;29;0;0;0;0;1;0
KU;3;39;0;0;0;0;1;0
KU;3;49;0;0;0;0;1;1
KU;3;59;0;0;0;0.2;1;1
KU;3;69;0;0;0.2;0.8;1;1
KU;3;79;0;0.2;0.8;0;1;0.5
KU;3;89;0.2;0.8;0;0;1;0
KU;3;99;1;0;0;0;1;0
KU;3;109;1;0;0;0;1;0
KU;3;119;1;0;0;0;1;0
KU;3;120;1;0;0;0;1;0
KU;4;9;0;0;0;0;0;0
KU;4;19;0;0;0;0;1;0
KU;4;29;0;0;0;0;1;0
KU;4;39;0;0;0;0;1;0
KU;4;49;0;0;0;0;1;1
KU;4;59;0;0;0;0.2;1;1
KU;4;69;0;0;0.2;0.8;1;1
KU;4;79;0;0.2;0.8;0;1;0.5
KU;4;89;0.2;0.8;0;0;1;0
KU;4;99;1;0;0;0;1;0
KU;4;109;1;0;0;0;1;0
KU;4;119;1;0;0;0;1;0
KU;4;120;1;0;0;0;1;0
KU;5;9;0;0;0;0;0;0
KU;5;19;0;0;0;0;1;0
KU;5;29;0;0;0;0;1;0
KU;5;39;0;0;0;0;1;0
KU;5;49;0;0;0;0;1;1
KU;5;59;0;0;0;0.2;1;1
KU;5;69;0;0;0.2;0.8;1;1
KU;5;79;0;0.2;0.8;0;1;0.5
KU;5;89;0.2;0.8;0;0;1;0
KU;5;99;1;0;0;0;1;0
KU;5;109;1;0;0;0;1;0
KU;5;119;1;0;0;0;1;0
KU;5;120;1;0;0;0;1;0
KS;0;9;0;0;0;0;0.59;0
KS;0;19;0;0;0;0;1;0
KS;0;29;0;0;0;0.4;1;1
KS;0;39;0;0;0.4;0.6;1;1
KS;0;49;0;0.4;0.6;0;1;1
KS;0;59;0.4;0.6;0;0;1;0
KS;0;69;1;0;0;0;1;0
KS;0;79;1;0;0;0;1;0
KS;0;89;1;0;0;0;1;0
KS;0;99;1;0;0;0;1;0
KS;0;109;1;0;0;0;1;0
KS;0;119;1;0;0;0;1;0
KS;0;120;1;0;0;0;1;0
KS;1;9;0;0;0;0;0.56;0
KS;1;19;0;0;0;0;1;0
KS;1;29;0;0;0;0;1;0.5
KS;1;39;0;0;0;1;1;1
KS;1;49;0;0;1;0;1;1
KS;1;59;0;1;0;0;1;0.5
KS;1;69;1;0;0;0;1;0
KS;1;79;1;0;0;0;1;0
KS;1;89;1;0;0;0;1;0
KS;1;99;1;0;0;0;1;0
